Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Water,Wetland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Shrubland,413,73,200,58,86,33,81,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Grassland,0,135,177,36,31,2,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Non_Wetland,8,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Bareland,296,58,83,50,21,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Water,879,87,437,20,0,84,252,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Forest,994,201,0,59,206,47,106,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Cropland,684,0,364,125,51,1,203,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Wetland,329,17,151,2,114,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Built-up,261,49,140,0,4,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Non_Water,6,1,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXD_M_R,Lichens_and_Mosses,11,5,1,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Non_Wetland,0,0,0,0,0,8,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Shrubland,111,0,37,21,50,49,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Grassland,0,0,118,40,39,51,93,252,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Cropland,575,0,281,65,52,24,281,538,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Bareland,139,0,22,30,56,12,0,130,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Water,245,0,206,62,0,82,242,762,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Forest,476,0,0,73,353,249,258,1171,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Non_Water,0,0,0,1,2,0,1,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Built-up,124,0,25,0,24,5,99,167,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Wetland,58,0,43,2,231,0,48,294,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXD_M_R,Lichens_and_Mosses,5,0,0,1,0,1,4,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Grassland,0,81,94,26,117,37,155,204,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Non_Wetland,0,0,0,0,1,7,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Wetland,35,7,62,0,284,0,26,233,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Forest,485,128,0,23,431,361,404,921,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Bareland,82,50,21,5,188,7,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Water,106,14,258,12,0,95,316,576,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Built-up,136,29,22,0,42,31,209,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Non_Water,1,0,0,0,8,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXD_M_R,Shrubland,100,28,40,14,82,50,93,0,0,0,0,0
