Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Shrubland,3,1,1,3,1,2,1,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Grassland,0,9,11,28,13,8,0,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Cropland,118,0,6,118,16,49,0,117,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Wetland,161,9,0,141,2,104,0,141,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Lichens_and_Mosses,3,0,0,3,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Bareland,163,45,37,0,26,113,8,142,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Built-up,32,5,1,29,0,21,0,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Water,271,36,45,263,10,0,12,247,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Forest,151,45,44,146,36,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCF_M_R,Permanent_ice_and_snow,13,0,0,17,0,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Grassland,0,0,3,0,0,3,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Bareland,0,0,40,0,0,28,0,0,153,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Forest,0,0,42,0,0,28,0,0,165,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Cropland,0,0,6,0,0,5,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Wetland,0,0,0,0,0,10,0,0,315,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Water,0,0,71,0,0,0,0,0,189,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Built-up,0,0,1,0,0,1,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCF_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCF_M_R,Shrubland,0,0,0,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCF_M_R,Grassland,0,0,0,0,0,32,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCF_M_R,Cropland,0,0,0,0,0,82,0,0,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCF_M_R,Wetland,0,0,0,0,0,150,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCF_M_R,Lichens_and_Mosses,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCF_M_R,Bareland,0,0,0,0,0,224,0,0,0,89,0,0
