Dataset,MajorityClass,Wetland,Grassland,Water,Bareland,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Non_Wetland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Grassland,12,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Water,278,5,0,5,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Wetland,0,17,123,3,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Bareland,1,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Built-up,0,3,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,Forest,256,41,115,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Non_Wetland,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Wetland,0,146,80,0,143,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Grassland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Bareland,0,2,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Water,113,128,0,0,242,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Built-up,0,4,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R,Forest,12,65,23,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Grassland,18,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Water,277,20,0,20,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Wetland,0,7,110,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Bareland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Built-up,2,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,Forest,200,41,102,18,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,Wetland,0,0,17,0,0,0,140,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,Grassland,0,0,0,0,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,Water,131,0,0,0,0,0,241,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,Bareland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,Forest,69,0,20,0,0,0,324,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNC_M_R,Wetland,0,0,132,0,0,0,0,82,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNC_M_R,Grassland,0,0,3,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNC_M_R,Water,0,0,0,0,0,0,0,129,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNC_M_R,Forest,0,0,73,0,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,Grassland,0,0,0,3,3,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,Wetland,0,23,17,41,29,3,0,0,15,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,Forest,69,56,20,56,0,12,0,0,44,2,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,Water,131,80,0,78,84,4,0,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,Bareland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNC_M_R,Water,144,0,0,20,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNC_M_R,Grassland,0,0,1,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNC_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNC_M_R,Wetland,0,0,85,5,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNC_M_R,Forest,59,0,112,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNC_M_R,Forest,0,3,1,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNC_M_R,Wetland,0,6,96,11,275,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNC_M_R,Water,16,2,0,18,292,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNC_M_R,Grassland,0,0,0,0,10,0,0,0,0,0,0
