Dataset,MajorityClass,Forest,Built-up,Water,Wetland,Grassland,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Grassland,102,1,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Non_Wetland,8,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Wetland,411,0,208,0,656,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Bareland,82,1,14,0,67,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Built-up,180,0,12,0,196,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Water,634,2,0,77,739,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Non_Water,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Shrubland,8,0,0,1,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Cropland,11,0,1,0,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R,Forest,0,9,177,9,619,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Non_Wetland,0,0,2,9,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Grassland,28,11,112,236,0,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Bareland,5,1,20,25,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Built-up,20,0,24,63,39,129,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Water,69,45,0,698,38,232,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Forest,0,71,420,817,242,348,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Non_Water,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Shrubland,1,0,2,8,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Cropland,0,0,10,18,3,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,Wetland,4,12,250,0,26,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,Grassland,0,0,16,33,0,0,0,346,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,Wetland,0,0,24,0,0,0,0,453,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,Forest,0,0,122,266,0,0,0,1137,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,Water,0,0,0,455,0,0,0,539,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,Shrubland,0,0,0,0,0,0,0,11,0,0,0,0
