Dataset,MajorityClass,Water,Forest,Wetland,Bareland,Cropland,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_22NFH_M_R,Wetland,33,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFH_M_R,Water,0,2,35,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFH_M_R,Wetland,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFH_M_R,Water,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFH_M_R,Wetland,38,9,0,1,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFH_M_R,Water,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFH_M_R,Wetland,34,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFH_M_R,Water,0,0,0,0,0,8,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFH_M_R,Water,0,13,8,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFH_M_R,Wetland,20,56,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFH_M_R,Water,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFH_M_R,Wetland,13,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFH_M_R,Wetland,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFH_M_R,Water,0,2,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFH_M_R,Wetland,7,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFH_M_R,Water,0,0,22,0,0,0,3
