Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Grassland,75,6,3,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Non_Wetland,10,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Water,503,192,16,0,0,437,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Wetland,272,0,1,0,44,372,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Bareland,32,0,0,2,1,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Forest,0,37,6,11,71,394,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Shrubland,18,1,2,0,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Cropland,8,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQU_M_R,Built-up,40,0,0,0,0,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Non_Wetland,2,8,1,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Grassland,32,151,51,0,41,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Wetland,31,0,26,0,150,94,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Bareland,5,14,0,0,16,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Water,96,464,55,0,0,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Forest,0,618,186,0,344,242,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Shrubland,4,12,2,0,6,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Cropland,1,5,4,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQU_M_R,Built-up,4,19,39,0,12,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Non_Wetland,0,10,2,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Wetland,19,0,36,0,182,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Forest,0,529,191,0,254,443,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Grassland,1,108,58,0,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Shrubland,0,10,9,0,4,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Water,46,367,60,0,0,129,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Cropland,0,1,5,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Bareland,0,8,0,0,7,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQU_M_R,Built-up,0,19,33,0,3,26,0,0,0,0,0,0
