Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Grassland,288,56,62,68,44,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Non_Wetland,5,0,0,1,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Forest,0,24,56,32,280,3,720,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Wetland,245,0,16,5,186,1,398,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Bareland,51,0,0,6,51,0,111,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Built-up,120,0,27,0,32,0,153,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Water,647,63,180,2,0,0,911,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Shrubland,4,0,1,1,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFL_M_R,Cropland,75,5,12,18,13,0,147,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Non_Wetland,1,9,1,0,0,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Grassland,87,338,155,3,165,0,0,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Wetland,50,0,29,0,164,0,144,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Bareland,12,55,0,0,83,0,81,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Built-up,8,74,157,0,28,0,91,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Water,244,712,151,10,0,0,463,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Forest,0,780,253,5,463,0,563,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Shrubland,1,1,0,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFL_M_R,Cropland,8,77,51,1,26,0,103,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Grassland,0,90,0,0,60,0,0,0,641,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Wetland,0,0,0,0,7,0,0,0,230,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Forest,0,337,0,0,121,0,0,0,1147,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Water,0,504,0,0,0,0,0,0,557,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Cropland,0,0,0,0,1,0,0,0,116,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Bareland,0,56,0,0,1,0,0,0,55,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFL_M_R,Built-up,0,12,0,0,10,0,0,0,119,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Non_Wetland,0,6,3,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Forest,0,611,478,40,352,0,757,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Grassland,10,320,222,42,150,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Water,60,358,462,64,0,1,572,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Shrubland,0,2,3,0,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Cropland,1,43,101,23,31,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Wetland,11,0,104,0,224,0,185,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Bareland,0,6,0,1,97,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFL_M_R,Built-up,0,55,90,0,38,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,Grassland,0,0,0,0,187,0,0,0,0,104,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,Water,0,0,0,0,0,0,0,0,0,475,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,Bareland,0,0,0,0,96,0,0,0,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,Cropland,0,0,0,0,16,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,Wetland,0,0,0,0,273,0,0,0,0,156,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,Built-up,0,0,0,0,54,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFL_M_R,Forest,0,0,0,0,532,0,0,0,0,255,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,Grassland,278,90,119,140,60,262,0,89,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,Wetland,45,0,56,13,7,19,41,14,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,Forest,0,337,251,180,121,347,180,103,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,Bareland,22,56,0,28,1,75,10,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,Water,294,504,300,170,0,323,166,39,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,Built-up,39,12,8,0,10,78,28,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFL_M_R,Cropland,33,0,1,19,1,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,Grassland,170,16,5,152,117,278,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,Bareland,28,0,0,35,38,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,Forest,0,32,3,234,423,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,Water,281,62,141,94,0,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,Wetland,168,0,37,60,171,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,Built-up,0,0,0,0,1,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFL_M_R,Cropland,16,0,0,18,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Wetland,334,0,63,0,60,91,127,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Forest,0,3,15,0,30,78,83,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Water,803,72,307,0,0,142,136,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Bareland,47,0,0,0,3,13,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Built-up,54,0,0,0,11,17,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Grassland,278,33,44,0,91,113,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Cropland,12,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFL_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
