Dataset,MajorityClass,Forest,Grassland,Water,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Bareland,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUA_M_R,Wetland,0,0,52,0,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUA_M_R,Water,0,0,0,0,0,0,96,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUA_M_R,Forest,0,0,66,0,0,0,51,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,Wetland,0,0,6,0,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,Water,0,0,0,0,100,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,Grassland,0,0,0,0,2,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,Shrubland,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,Forest,0,0,38,0,86,0,0,225,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUA_M_R,Bareland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,Grassland,14,0,0,0,2,15,0,0,3,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,Forest,0,12,38,25,86,91,0,0,6,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,Wetland,10,0,6,0,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,Water,80,5,0,17,100,69,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUA_M_R,Bareland,2,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUA_M_R,Water,19,0,0,2,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUA_M_R,Wetland,13,0,60,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUA_M_R,Grassland,7,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUA_M_R,Forest,0,0,146,2,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUA_M_R,Wetland,90,10,18,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUA_M_R,Forest,0,4,6,8,2,0,0,0,0,3,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUA_M_R,Water,193,0,0,7,59,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUA_M_R,Grassland,14,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUA_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
