Dataset,MajorityClass,Forest,Grassland,Water,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Grassland,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Non_Wetland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Wetland,72,58,34,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Water,162,80,0,39,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Shrubland,6,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Forest,0,90,52,6,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUA_M_R,Bareland,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Forest,0,72,124,2,120,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Non_Wetland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Shrubland,0,1,6,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Grassland,0,0,2,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Wetland,7,7,91,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Water,20,2,0,0,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUA_M_R,Bareland,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Non_Wetland,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Water,78,7,0,0,138,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Grassland,9,0,0,1,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Shrubland,2,2,0,5,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Forest,0,51,83,23,160,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Wetland,14,9,64,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUA_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
