Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Grassland,115,14,12,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Non_Wetland,6,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Wetland,329,0,1,11,183,620,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Bareland,50,0,3,0,32,183,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Water,401,74,1,33,0,627,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Shrubland,3,0,0,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Cropland,39,0,11,1,1,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Built-up,98,2,0,4,15,178,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Forest,0,4,26,16,163,616,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKS_M_R,Permanent_ice_and_snow,0,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKS_M_R,Non_Wetland,1,7,0,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKS_M_R,Grassland,51,262,0,101,51,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKS_M_R,Bareland,5,46,1,0,62,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKS_M_R,Water,108,609,7,92,0,117,0,0,0,0,0,0
