Dataset,MajorityClass,Forest,Wetland,Built-up,Grassland,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Grassland,111,4,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Non_Wetland,11,0,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Wetland,560,0,5,764,133,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Bareland,89,6,10,160,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Built-up,190,3,0,238,22,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Water,573,380,5,920,0,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Shrubland,20,1,3,18,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Cropland,43,0,5,29,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Forest,0,61,69,653,79,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Non_Wetland,1,12,0,1,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Grassland,29,287,1,0,120,76,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Wetland,36,0,8,70,522,64,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Bareland,7,51,17,64,111,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Built-up,9,87,0,72,70,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Water,88,718,39,90,0,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Forest,0,819,96,333,539,278,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Shrubland,4,15,0,8,10,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Cropland,1,21,8,33,6,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Grassland,0,26,0,0,7,0,416,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Wetland,0,0,0,0,53,0,834,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Forest,0,224,0,0,58,0,1387,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Water,0,386,0,0,0,0,972,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Shrubland,0,0,0,0,0,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Cropland,0,0,0,0,0,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Bareland,0,11,0,0,1,0,96,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Built-up,0,19,0,0,2,0,164,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Non_Wetland,0,9,1,2,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Forest,0,782,212,493,302,428,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Grassland,1,186,18,0,78,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Water,29,809,62,298,0,187,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Shrubland,0,11,6,6,3,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Cropland,0,12,12,15,2,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Wetland,16,0,18,169,428,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Bareland,2,37,14,74,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Built-up,4,80,0,59,13,133,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Grassland,0,0,0,0,139,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Water,0,0,0,0,0,0,0,321,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Wetland,0,0,0,0,659,0,0,250,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Bareland,0,0,0,0,65,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Shrubland,0,0,0,0,5,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Forest,0,0,0,0,429,0,0,148,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Built-up,0,0,0,0,96,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,Cropland,0,0,0,0,4,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Grassland,95,26,66,0,7,90,0,0,180,30,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Forest,0,224,203,171,58,315,0,0,388,78,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Wetland,149,0,75,105,53,196,0,0,123,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Bareland,22,11,56,5,1,0,0,0,81,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Built-up,44,19,0,9,2,43,0,0,154,6,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Water,271,386,168,193,0,360,0,0,245,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Cropland,10,0,6,0,0,5,0,0,27,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,Grassland,105,49,117,0,40,3,0,0,0,39,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,Bareland,12,3,66,0,17,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,Built-up,9,0,0,0,2,11,0,0,0,31,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,Forest,0,212,273,0,276,9,0,0,0,59,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,Water,288,342,112,0,0,134,0,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,Wetland,281,0,109,0,195,20,0,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,Cropland,2,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,Wetland,713,0,0,246,259,27,0,0,0,94,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,Forest,0,1,0,55,33,12,0,0,0,49,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,Water,655,61,0,116,0,103,0,0,0,25,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,Bareland,44,3,0,2,8,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,Built-up,127,0,0,2,16,36,0,0,0,33,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,Grassland,190,1,0,0,30,19,0,0,0,43,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
