Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Water,Wetland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Shrubland,277,10,43,212,83,156,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Non_Wetland,11,1,0,7,2,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Grassland,0,90,41,333,92,201,88,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Bareland,166,18,19,82,95,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Water,1110,24,7,926,0,846,212,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Forest,992,68,67,0,489,420,154,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Cropland,435,0,60,327,60,41,94,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Wetland,385,9,0,318,228,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Built-up,111,22,0,113,10,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEJ_M_R,Permanent_ice_and_snow,1,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Non_Wetland,8,0,0,4,7,16,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Shrubland,123,0,9,27,65,91,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Grassland,0,0,12,148,170,259,23,315,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Cropland,478,0,50,110,78,64,122,218,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Wetland,273,0,0,107,462,0,19,380,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Bareland,128,0,33,44,115,14,0,52,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Water,786,0,11,313,0,436,32,773,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Forest,791,0,18,0,660,594,173,1206,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Built-up,92,0,0,6,11,2,53,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEJ_M_R,Permanent_ice_and_snow,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Wetland,0,0,0,0,101,0,0,0,1087,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Shrubland,0,0,0,0,0,0,0,0,346,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Grassland,0,0,0,0,87,87,0,0,665,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Forest,0,0,0,0,263,465,0,0,1444,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Water,0,0,0,0,0,538,0,0,911,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Bareland,0,0,0,0,22,69,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Cropland,0,0,0,0,6,0,0,0,161,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Built-up,0,0,0,0,3,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Non_Wetland,6,0,0,1,0,14,9,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Grassland,0,79,8,78,61,217,251,347,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Wetland,234,0,0,44,150,0,505,517,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Water,602,3,30,253,0,499,1315,930,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Forest,826,78,10,0,281,566,1049,1134,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Shrubland,115,8,6,18,16,68,121,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Bareland,111,0,5,2,1,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Cropland,426,0,31,45,21,50,263,148,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Built-up,102,1,0,9,1,0,113,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Water,0,0,0,0,0,0,0,0,0,934,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Grassland,0,0,0,0,294,0,0,0,0,111,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Bareland,0,0,0,0,80,0,0,0,0,71,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Shrubland,0,0,0,0,101,0,0,0,0,44,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Wetland,0,0,0,0,421,0,0,0,0,289,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Forest,0,0,0,0,626,0,0,0,0,459,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Cropland,0,0,0,0,44,0,0,0,0,24,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEJ_M_R,Built-up,0,0,0,0,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Grassland,0,660,104,353,87,87,38,672,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Wetland,3,133,1,327,101,0,29,318,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Bareland,3,260,70,20,22,69,0,183,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Forest,231,957,144,0,263,465,121,969,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Water,24,784,44,585,0,538,180,903,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Cropland,24,0,52,97,6,0,4,239,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Built-up,5,106,0,7,3,0,1,87,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Shrubland,10,40,7,27,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEJ_M_R,Permanent_ice_and_snow,0,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Grassland,0,552,106,279,162,50,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Forest,0,413,181,0,630,232,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Shrubland,0,135,41,80,89,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Wetland,0,143,1,184,238,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Bareland,0,115,74,50,71,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Water,0,253,18,215,0,193,42,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Built-up,0,19,0,3,6,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Cropland,0,0,49,52,8,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEJ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Wetland,233,24,0,580,244,0,20,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Forest,181,95,0,0,159,64,62,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Shrubland,127,32,0,259,86,54,30,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Cropland,84,0,0,120,31,11,103,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Bareland,7,19,0,51,20,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Water,182,21,0,936,0,224,142,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Built-up,1,21,0,41,6,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEJ_M_R,Grassland,0,91,0,288,127,53,134,0,0,0,0,8
