Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Built-up,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Grassland,0,11,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Wetland,16,8,30,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Water,47,45,0,1,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Forest,53,0,27,1,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Built-up,3,6,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R,Bareland,1,0,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,Wetland,0,0,22,0,0,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,Forest,0,0,42,0,0,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,Grassland,0,0,8,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,Water,0,0,0,0,0,0,71,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,Bareland,0,0,4,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXD_M_R,Wetland,0,11,7,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXD_M_R,Grassland,0,11,8,0,1,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXD_M_R,Water,0,32,0,13,7,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXD_M_R,Forest,0,0,38,1,8,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,Built-up,3,2,0,1,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,Water,14,19,0,16,31,10,0,21,10,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,Forest,21,0,9,25,26,12,0,32,12,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,Grassland,0,5,2,2,4,0,0,11,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,Wetland,0,1,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,Bareland,0,0,0,0,3,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,Water,0,0,0,0,31,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,Forest,0,0,9,0,26,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,Grassland,0,0,2,0,4,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,Wetland,0,0,2,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,Bareland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,Wetland,7,34,3,3,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,Water,7,56,0,19,10,0,0,0,5,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,Forest,8,0,11,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,Grassland,0,7,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0,0
