Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Shrubland,301,78,54,83,35,33,52,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Non_Wetland,1,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Grassland,0,98,69,152,218,58,137,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Bareland,314,0,62,31,45,40,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Built-up,433,199,0,206,152,46,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Water,1631,429,132,262,257,0,481,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Forest,1197,171,148,0,262,79,305,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Cropland,749,254,151,255,0,85,66,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Non_Water,3,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Wetland,958,144,29,175,134,218,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Lichens_and_Mosses,2,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MZU_M_R,Permanent_ice_and_snow,84,15,3,9,3,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Non_Wetland,1,0,0,3,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Shrubland,75,16,22,51,0,34,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Grassland,0,23,97,232,0,111,21,252,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Cropland,538,66,378,164,0,77,2,234,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Bareland,77,0,119,14,0,185,0,80,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Built-up,147,43,0,48,0,95,0,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Water,188,41,85,544,0,0,34,336,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Forest,468,60,228,0,0,141,50,618,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Non_Water,2,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Wetland,85,29,10,593,0,468,0,152,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZU_M_R,Permanent_ice_and_snow,8,2,1,5,0,20,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Non_Wetland,0,0,0,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Grassland,0,121,94,127,140,79,7,598,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Forest,360,241,143,0,231,78,26,1330,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Built-up,122,254,0,14,107,15,0,221,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Non_Water,1,0,0,0,0,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Water,414,350,79,251,176,0,44,1239,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Shrubland,51,35,5,11,11,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Cropland,428,256,236,96,0,55,0,489,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Bareland,99,0,38,6,37,28,0,171,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Wetland,154,101,4,179,76,278,0,978,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZU_M_R,Permanent_ice_and_snow,7,11,2,3,7,2,0,63,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Shrubland,0,0,0,0,0,0,0,0,196,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Forest,0,0,0,0,0,11,306,0,730,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Water,0,0,0,0,0,0,849,0,765,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Wetland,0,0,0,0,0,14,0,0,1212,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Grassland,0,0,0,0,0,8,115,0,485,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Cropland,0,0,0,0,0,0,31,0,264,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Bareland,0,0,0,0,0,0,53,0,64,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Built-up,0,0,0,0,0,1,26,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Grassland,0,0,0,0,0,197,0,0,0,203,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Water,0,0,0,0,0,0,0,0,0,1179,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Shrubland,0,0,0,0,0,77,0,0,0,65,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZU_M_R,Bareland,0,0,0,0,0,87,0,0,0,71,0,0
