Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Shrubland,2,2,2,1,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Grassland,0,21,11,6,30,5,5,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Cropland,39,5,4,4,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Wetland,76,0,27,0,60,44,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Bareland,25,10,0,1,13,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Built-up,11,0,4,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Water,106,67,60,2,93,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R,Forest,78,46,34,9,0,24,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Grassland,0,13,0,0,0,6,0,46,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Forest,0,39,0,0,0,18,0,74,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Cropland,0,5,0,0,0,1,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Wetland,0,0,0,0,0,9,0,63,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Bareland,0,25,0,0,0,5,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Built-up,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,Water,0,55,0,0,0,0,0,56,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Grassland,0,0,0,0,0,45,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Wetland,0,0,0,0,0,104,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Water,0,0,0,0,0,0,0,0,104,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Forest,0,0,0,0,0,85,0,0,38,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Bareland,0,0,0,0,0,30,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Built-up,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,Cropland,0,0,0,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,Water,63,55,14,3,55,0,16,0,0,48
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,Cropland,30,5,5,6,19,1,0,0,0,26
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,Wetland,30,0,0,0,27,9,0,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,Bareland,15,25,0,1,23,5,3,0,0,25
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,Built-up,5,2,1,0,4,0,1,0,0,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,Forest,63,39,19,13,0,18,20,0,0,69
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,Grassland,0,13,4,8,24,6,9,0,0,35
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYJ_M_R,Grassland,0,23,4,15,34,22,42,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYJ_M_R,Wetland,0,0,18,11,37,46,25,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYJ_M_R,Built-up,0,0,0,0,0,0,1,0,0,0
