Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Cropland,Water,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Grassland,259,42,37,7,12,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Non_Wetland,4,1,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Cropland,62,0,10,0,0,0,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Bareland,66,0,20,0,1,0,120,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Water,351,53,3,24,0,0,235,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Forest,0,19,45,1,0,66,330,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Shrubland,18,2,4,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Wetland,94,10,2,0,0,24,85,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZS_M_R,Built-up,47,10,0,0,0,0,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Non_Wetland,1,2,0,2,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Grassland,121,85,19,83,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Cropland,14,8,3,12,0,0,58,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Bareland,29,0,2,8,0,1,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Water,134,19,5,236,0,0,198,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Forest,0,103,26,347,0,115,388,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Shrubland,2,6,3,5,0,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Wetland,41,4,0,0,0,17,47,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZS_M_R,Built-up,4,39,0,9,0,1,33,0,0,0,0,0
