Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Water,Cropland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Shrubland,73,61,132,7,5,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Grassland,0,271,529,67,35,45,65,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Non_Wetland,6,6,18,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Forest,503,0,863,232,73,246,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Cropland,218,227,202,53,47,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Wetland,68,129,0,13,0,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Bareland,69,61,33,0,2,32,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Water,248,368,672,260,4,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Built-up,78,94,114,35,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R,Permanent_ice_and_snow,2,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Non_Wetland,11,2,11,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Shrubland,67,10,28,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Grassland,0,72,179,5,3,19,0,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Cropland,416,50,70,3,9,7,0,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Wetland,451,20,0,0,0,159,0,147,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Bareland,271,24,5,0,0,86,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Forest,1065,0,464,25,13,322,0,565,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Water,784,81,99,3,14,0,0,105,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Built-up,147,0,2,5,0,6,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Non_Wetland,7,4,8,1,1,3,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Grassland,0,60,201,116,26,101,21,239,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Wetland,308,59,0,25,0,247,0,245,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Forest,803,0,522,505,41,447,22,695,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Shrubland,36,8,20,16,3,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Cropland,321,33,72,112,34,41,0,147,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Water,342,52,339,347,14,0,0,133,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Bareland,69,1,7,0,1,62,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Built-up,117,2,31,56,0,24,0,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,Permanent_ice_and_snow,0,0,0,2,0,1,0,0,0,0,0,0
