Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Shrubland,3,1,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Wetland,21,0,9,13,9,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Built-up,6,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Water,40,14,28,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Forest,34,5,7,0,11,2,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Bareland,4,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Cropland,4,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,Forest,0,24,0,0,5,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,Water,0,28,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,Wetland,0,0,0,0,1,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,Bareland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,Wetland,0,0,0,0,17,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,Forest,0,0,0,0,21,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,Bareland,0,0,0,0,5,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,Water,0,0,0,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Water,0,28,2,24,0,0,1,0,0,40,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Bareland,1,2,0,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Built-up,1,1,0,2,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Forest,4,24,3,0,5,3,2,0,0,35,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Grassland,0,0,0,2,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Cropland,1,0,0,1,0,0,1,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Wetland,0,0,0,2,1,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,Water,0,3,9,7,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,Wetland,0,0,7,1,25,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,Forest,0,1,2,0,26,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,Cropland,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,Forest,3,3,1,0,7,4,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,Grassland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,Wetland,0,0,1,13,4,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,Water,0,22,11,37,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
