Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Grassland,311,101,48,75,79,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Shrubland,77,25,18,15,19,1,129,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Non_Wetland,3,1,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Cropland,155,0,1,14,58,0,210,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Bareland,71,22,2,0,40,2,151,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Water,413,4,54,165,3,0,445,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Forest,0,45,24,74,67,62,430,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Built-up,79,18,0,30,0,1,149,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Wetland,70,1,0,16,2,24,84,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQN_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Shrubland,0,0,0,0,0,0,0,51,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Grassland,0,0,71,0,0,39,0,197,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Wetland,0,0,0,0,0,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Bareland,0,0,6,0,0,7,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Cropland,0,0,3,0,0,3,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Built-up,0,0,4,0,0,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Forest,0,0,243,0,0,92,0,255,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQN_M_R,Water,0,0,221,0,0,0,0,69,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Shrubland,15,0,25,18,4,9,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Non_Wetland,0,0,6,0,0,0,2,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Grassland,129,0,114,127,39,62,0,0,202,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Cropland,52,0,19,59,15,7,283,0,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Bareland,21,0,22,0,21,12,139,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Built-up,17,0,2,93,0,4,96,0,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Water,99,0,114,81,5,0,455,0,98,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Forest,0,0,221,243,37,132,653,0,307,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Wetland,10,0,0,13,0,26,97,0,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Grassland,36,78,20,378,40,96,0,0,278,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Non_Wetland,0,0,2,1,0,0,2,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Forest,0,26,41,454,13,276,574,0,400,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Water,41,0,1,265,19,0,207,0,107,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Shrubland,1,8,1,47,4,6,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Wetland,3,0,0,41,0,68,81,0,42,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Bareland,0,19,2,0,2,3,23,0,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Built-up,0,15,0,143,0,4,76,0,30,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Cropland,4,0,0,208,16,9,174,0,95,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQN_M_R,Permanent_ice_and_snow,0,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Grassland,0,0,0,0,0,59,0,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Bareland,0,0,0,0,0,21,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Shrubland,0,0,0,0,0,2,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Wetland,0,0,0,0,0,21,0,0,0,27,0,0
