Dataset,MajorityClass,Forest,Wetland,Cropland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Grassland,208,154,85,87,33,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Non_Wetland,3,1,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Cropland,98,59,0,38,13,4,395,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Wetland,532,0,23,46,13,152,1077,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Shrubland,49,15,11,23,11,6,83,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Bareland,93,32,37,0,8,20,361,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Built-up,86,1,0,41,0,0,211,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Water,780,484,6,185,6,0,848,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Forest,0,107,3,8,14,79,666,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRJ_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Non_Wetland,0,7,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Grassland,146,439,0,48,31,52,0,50,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Cropland,48,225,0,14,6,8,294,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Wetland,94,0,0,1,0,338,495,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Forest,0,735,0,57,28,178,587,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Shrubland,18,60,0,9,10,11,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Bareland,18,254,0,0,15,96,151,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Water,98,696,0,5,1,0,391,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Built-up,7,59,0,31,0,5,64,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRJ_M_R,Permanent_ice_and_snow,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Grassland,0,89,0,0,0,21,0,0,1065,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Wetland,0,0,0,0,0,66,0,0,1427,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Shrubland,0,0,0,0,0,0,0,0,122,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Cropland,0,9,0,0,0,3,0,0,407,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Bareland,0,31,0,0,0,24,0,0,380,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Built-up,0,1,0,0,0,1,0,0,141,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Water,0,434,0,0,0,0,0,0,950,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Forest,0,218,0,0,0,77,0,0,1330,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Non_Wetland,0,3,0,1,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Wetland,58,0,85,42,0,666,387,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Forest,0,589,181,241,13,268,597,63,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Grassland,66,386,256,236,22,172,0,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Shrubland,12,46,31,28,2,23,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Bareland,3,103,158,0,1,143,128,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Built-up,8,88,41,77,0,9,107,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Water,109,519,56,79,0,0,335,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Cropland,9,161,0,75,1,42,117,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRJ_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Grassland,0,0,0,0,0,426,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Wetland,0,0,0,0,0,915,0,0,0,237,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Shrubland,0,0,0,0,0,33,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Water,0,0,0,0,0,0,0,0,0,372,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Forest,0,0,0,0,0,510,0,0,0,119,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Cropland,0,0,0,0,0,206,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Bareland,0,0,0,0,0,295,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRJ_M_R,Built-up,0,0,0,0,0,18,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Grassland,308,89,92,60,142,21,0,857,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Wetland,250,0,53,16,60,66,152,829,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Forest,0,218,84,28,121,77,222,880,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Bareland,57,31,8,0,41,24,190,501,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Built-up,40,1,4,2,0,1,35,124,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Cropland,162,9,0,23,34,3,121,466,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Water,421,434,32,2,51,0,146,1037,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Shrubland,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Grassland,172,156,479,51,138,107,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Shrubland,1,0,9,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Forest,0,149,214,15,194,258,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Wetland,153,0,331,37,50,196,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Bareland,70,36,67,0,37,43,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Built-up,0,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Water,166,304,176,192,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Cropland,14,18,0,2,12,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Wetland,408,0,179,330,0,368,214,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Forest,0,57,61,126,0,133,105,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Shrubland,19,1,3,5,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Cropland,46,11,0,221,0,2,53,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Bareland,8,2,4,0,0,1,6,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Water,273,204,76,489,0,0,88,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Built-up,53,5,33,11,0,19,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRJ_M_R,Grassland,242,106,166,299,0,102,0,0,0,0,4
