Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Shrubland,3,3,1,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Grassland,0,42,1,6,22,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Cropland,44,31,0,2,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Wetland,144,0,2,14,94,53,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Bareland,18,10,0,2,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Built-up,20,11,8,0,14,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Water,124,131,16,9,83,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Forest,77,63,8,15,0,15,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPQ_M_R,Permanent_ice_and_snow,7,3,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,Grassland,0,17,0,0,0,7,0,82,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,Cropland,0,5,0,0,0,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,Built-up,0,6,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,Forest,0,40,0,0,0,18,0,114,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,Wetland,0,0,0,0,0,19,0,185,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPQ_M_R,Water,0,61,0,0,0,0,0,90,0,0,0
