Dataset,MajorityClass,Forest,Built-up,Cropland,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Grassland,426,102,45,68,74,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Shrubland,55,6,2,2,4,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Non_Wetland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Cropland,221,70,0,26,14,0,319,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Bareland,312,64,6,0,98,14,500,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Built-up,91,0,1,38,1,0,177,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Water,847,19,0,226,0,76,939,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Forest,0,50,4,33,138,19,599,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Non_Water,1,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Wetland,157,5,0,12,62,0,231,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMP_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Grassland,64,84,67,599,183,50,0,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Forest,0,22,44,672,316,133,707,141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Non_Wetland,0,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Bareland,3,16,22,0,30,5,104,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Water,145,17,7,1043,0,59,434,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Non_Water,0,0,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Shrubland,3,7,6,36,7,2,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Built-up,1,0,2,156,3,0,84,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Cropland,9,67,0,258,15,3,197,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Wetland,20,2,1,208,114,0,137,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMP_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Shrubland,7,3,0,20,5,2,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Grassland,152,63,0,362,224,73,0,235,0,0,0,0
