Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Shrubland,271,78,77,158,90,59,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Grassland,0,241,107,266,46,86,129,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Non_Wetland,13,3,2,12,2,3,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Bareland,278,74,0,117,89,58,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Built-up,302,131,119,206,0,23,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Water,727,202,328,733,64,0,183,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Forest,1118,388,331,0,299,360,175,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Wetland,314,69,43,172,5,107,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Non_Water,5,3,2,4,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Cropland,598,0,224,389,130,68,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNV_M_R,Permanent_ice_and_snow,6,0,9,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Non_Wetland,6,0,2,4,1,7,18,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Shrubland,120,0,53,53,34,80,83,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Grassland,0,0,66,157,36,181,162,138,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Wetland,136,0,13,28,24,263,0,66,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Bareland,202,0,0,89,42,313,14,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Built-up,177,0,110,69,0,80,51,174,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Water,516,0,77,229,54,0,211,132,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Forest,855,0,395,0,241,656,659,747,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Non_Water,3,0,0,0,1,5,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Cropland,675,0,139,309,131,204,187,311,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNV_M_R,Permanent_ice_and_snow,0,0,1,1,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Wetland,0,0,0,0,0,9,0,0,460,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Shrubland,0,0,0,0,0,0,0,0,244,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Grassland,0,0,0,0,0,15,107,0,515,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Water,0,0,0,0,0,0,516,0,729,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Forest,0,0,0,0,0,79,353,0,1653,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Bareland,0,0,0,0,0,7,62,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Built-up,0,0,0,0,0,0,17,0,167,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNV_M_R,Cropland,0,0,0,0,0,1,36,0,492,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Non_Wetland,8,0,4,1,0,4,30,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Grassland,0,25,69,127,17,94,247,168,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Wetland,130,3,47,23,2,148,0,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Built-up,309,0,227,49,0,22,122,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Water,328,5,521,252,19,0,656,273,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Forest,893,37,669,0,110,362,1031,773,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Bareland,388,0,0,51,9,56,35,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Non_Water,2,0,0,0,0,9,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Shrubland,121,1,88,45,22,39,89,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Cropland,821,0,258,283,98,81,257,235,0,0,0,0
