Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Non_Water,Non_Wetland,Wetland,Shrubland,Permanent_ice_and_snow,Cropland
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Shrubland,3,3,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Wetland,19,7,0,12,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Built-up,5,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Water,28,27,0,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Forest,49,29,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Bareland,14,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Cropland,5,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R,Permanent_ice_and_snow,3,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,Wetland,0,0,0,0,6,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,Water,0,0,0,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,Forest,0,0,0,0,35,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,Bareland,0,0,0,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,Wetland,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,Water,0,0,0,0,0,0,3,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,Forest,0,0,0,0,9,0,12,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,Grassland,0,0,0,0,0,0,3,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,Bareland,0,0,0,0,1,0,2,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Wetland,0,0,0,2,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Bareland,7,0,0,12,1,0,0,1,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Built-up,0,0,0,2,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Water,0,1,0,22,0,0,0,17,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Forest,12,1,6,0,9,0,0,21,39,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Grassland,0,0,0,4,0,0,0,1,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Cropland,0,0,0,1,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,Water,0,3,2,8,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,Grassland,0,0,2,4,2,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,Forest,0,4,6,0,24,0,0,11,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,Wetland,0,0,0,4,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,Cropland,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,Bareland,0,0,0,13,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,Wetland,1,5,0,18,2,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,Forest,3,10,0,0,14,0,0,2,0,9,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,Grassland,0,2,0,5,1,0,0,0,0,1,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,Water,0,6,0,29,0,0,0,0,0,1,4
