Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Shrubland,63,102,26,82,9,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Non_Wetland,10,6,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Grassland,481,0,187,473,148,57,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Cropland,329,441,0,146,88,78,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Wetland,902,789,25,0,39,1,112,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Bareland,102,170,37,36,0,25,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Water,674,509,5,528,123,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Forest,0,662,138,546,70,41,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Built-up,72,84,26,2,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPL_M_R,Permanent_ice_and_snow,11,10,1,13,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Non_Wetland,3,7,0,11,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Shrubland,22,58,0,66,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Grassland,211,0,0,565,156,4,43,221,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Cropland,188,606,0,233,129,8,16,101,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Wetland,127,663,0,0,3,0,222,186,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Bareland,22,157,0,135,0,0,30,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Water,87,589,0,432,14,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Forest,0,833,0,807,82,2,132,326,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Built-up,5,60,0,4,74,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPL_M_R,Permanent_ice_and_snow,0,3,0,7,0,0,0,0,0,0,0,0
