Dataset,MajorityClass,Water,Shrubland,Bareland,Forest
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQP_M_R,Bareland,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQP_M_R,Water,0,1,1,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQP_M_R,Permanent_ice_and_snow,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQP_M_R,Forest,1,0,0,0
