Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Shrubland,3,2,3,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Grassland,0,5,7,13,4,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Cropland,47,3,35,44,5,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Wetland,34,0,17,20,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Lichens_and_Mosses,1,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Bareland,84,3,0,72,37,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Built-up,10,0,10,10,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Water,96,7,124,110,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Forest,98,12,85,0,40,17,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEE_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,Grassland,0,3,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,Cropland,0,3,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,Bareland,0,28,0,0,14,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,Forest,0,31,0,0,11,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,Water,0,41,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEE_M_R,Wetland,0,0,0,0,0,0,0,15,0,0,0,0
