Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Shrubland,323,81,108,174,54,85,72,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Non_Wetland,7,0,0,7,3,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Grassland,0,157,84,179,26,49,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Bareland,278,76,0,55,10,12,74,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Built-up,169,65,81,130,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Forest,846,235,119,0,215,161,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Cropland,623,0,241,310,25,23,145,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Wetland,148,30,6,65,39,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Water,706,97,229,629,0,260,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Non_Water,3,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R,Permanent_ice_and_snow,8,0,2,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Non_Wetland,5,0,1,5,3,12,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Shrubland,126,0,45,40,56,67,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Grassland,0,0,58,111,83,74,17,324,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Cropland,585,0,207,234,73,73,93,572,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Wetland,76,0,2,28,180,0,0,153,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Bareland,231,0,0,37,69,19,43,159,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Built-up,146,0,80,13,35,5,0,130,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Water,416,0,31,203,0,197,13,588,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Forest,646,0,161,0,463,411,37,1053,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Non_Water,1,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,Permanent_ice_and_snow,5,0,0,0,0,6,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Shrubland,0,0,0,0,0,0,0,0,265,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Wetland,0,0,0,0,22,0,0,0,494,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Grassland,0,0,0,0,36,17,0,0,314,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Forest,0,0,0,0,201,106,0,0,1154,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Bareland,0,0,0,0,55,5,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Water,0,0,0,0,0,173,0,0,487,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Cropland,0,0,0,0,33,2,0,0,173,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Built-up,0,0,0,0,20,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Grassland,0,90,156,106,27,130,5,290,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Non_Wetland,1,0,9,1,2,16,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Wetland,50,0,85,15,53,0,0,114,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Bareland,185,31,0,28,9,4,10,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Forest,513,149,699,0,173,539,10,983,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Water,227,12,766,184,0,335,4,605,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Non_Water,0,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Shrubland,122,27,122,33,20,67,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Built-up,178,10,150,17,2,13,0,119,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Cropland,517,0,345,177,18,60,52,377,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,Permanent_ice_and_snow,2,0,11,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Grassland,0,0,0,0,97,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Bareland,0,0,0,0,13,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Water,0,0,0,0,0,0,0,0,0,494,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Shrubland,0,0,0,0,90,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Wetland,0,0,0,0,100,0,0,0,0,57,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Cropland,0,0,0,0,56,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Built-up,0,0,0,0,5,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,Forest,0,0,0,0,361,0,0,0,0,246,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Grassland,0,514,39,278,36,17,96,493,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Bareland,11,304,0,59,55,5,142,297,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Forest,183,813,61,0,201,106,137,826,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Wetland,3,74,8,161,22,0,1,108,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Built-up,14,170,15,33,20,0,0,140,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Water,5,518,69,379,0,173,40,579,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Cropland,64,0,27,232,33,2,127,454,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Shrubland,11,69,7,38,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,Permanent_ice_and_snow,0,9,0,0,0,0,1,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Grassland,0,507,8,225,71,45,128,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Bareland,0,291,0,54,49,2,188,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Shrubland,0,173,1,139,107,48,91,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Forest,0,494,0,0,480,294,236,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Built-up,0,39,2,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Water,0,114,4,92,0,188,56,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Wetland,0,18,0,29,58,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Cropland,0,0,4,145,23,1,133,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,Permanent_ice_and_snow,0,0,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Forest,135,149,115,0,76,11,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Shrubland,127,91,90,275,77,17,0,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Cropland,164,0,213,195,51,16,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Wetland,35,6,6,166,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Bareland,9,60,0,45,12,0,0,0,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Water,40,22,50,569,0,73,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Built-up,2,67,60,79,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,Grassland,0,122,141,231,59,38,0,0,0,0,0,26
