Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Cropland,Wetland,Permanent_ice_and_snow,Non_Water,Shrubland,Forest,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Shrubland,2,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Grassland,0,12,3,2,9,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Cropland,37,13,4,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Wetland,49,31,0,12,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Bareland,80,0,19,32,15,21,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Built-up,8,8,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Water,60,57,0,0,2,17,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Forest,29,6,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R,Permanent_ice_and_snow,7,15,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Bareland,0,0,0,72,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Grassland,0,0,0,9,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Wetland,0,0,0,29,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Water,0,0,0,0,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Water,5,26,11,0,0,28,3,0,40,5,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Cropland,9,14,10,0,0,1,0,0,14,5,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Wetland,1,5,5,0,0,0,0,0,8,2,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Bareland,17,0,39,11,2,28,1,0,62,18,14,0
