Dataset,MajorityClass,Forest,Grassland,Cropland,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Shrubland,54,83,6,3,3,5,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Grassland,399,0,68,58,33,49,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Non_Wetland,7,6,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Bareland,472,386,28,35,154,0,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Wetland,231,224,0,0,96,48,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Built-up,115,156,3,0,6,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Forest,0,518,7,36,117,75,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Water,686,416,4,5,0,246,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Cropland,124,163,0,24,5,8,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDT_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Non_Wetland,2,2,0,0,0,2,10,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Shrubland,11,37,0,5,3,22,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Grassland,95,0,0,75,45,370,165,131,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Bareland,18,118,0,10,22,0,50,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Built-up,20,67,0,0,0,93,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Forest,0,674,0,120,184,843,409,213,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Water,88,453,0,28,0,772,270,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Cropland,18,182,0,25,1,81,9,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Wetland,23,108,0,1,61,221,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Grassland,74,0,32,63,43,557,99,149,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Non_Wetland,0,2,0,0,1,3,8,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Forest,0,590,6,59,211,816,226,280,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Built-up,6,58,3,0,0,144,2,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Water,67,226,0,8,0,943,64,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Shrubland,8,24,0,3,5,43,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Bareland,10,62,3,8,24,0,8,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Wetland,11,113,0,0,43,350,0,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Cropland,4,126,0,18,2,192,3,59,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDT_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Grassland,0,0,0,0,41,0,86,0,392,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Wetland,0,0,0,0,5,0,0,0,120,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Forest,0,0,0,0,139,0,283,0,692,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Bareland,0,0,0,0,82,0,127,0,386,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Water,0,0,0,0,0,0,375,0,254,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Shrubland,0,0,0,0,0,0,0,0,30,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Cropland,0,0,0,0,0,0,1,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Built-up,0,0,0,0,5,0,9,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Grassland,0,0,0,0,165,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Wetland,0,0,0,0,133,0,0,0,0,66,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Bareland,0,0,0,0,392,0,0,0,0,109,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Shrubland,0,0,0,0,3,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Forest,0,0,0,0,323,0,0,0,0,107,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Cropland,0,0,0,0,10,0,0,0,0,0,0
