Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Built-up,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Shrubland,2,1,1,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Grassland,0,2,0,6,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Cropland,10,0,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Wetland,56,0,1,48,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Water,59,30,0,0,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Forest,49,21,0,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Bareland,1,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R,Built-up,5,0,3,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,Forest,0,27,0,13,0,61,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,Wetland,0,0,0,12,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,Water,0,43,0,0,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,Grassland,0,9,0,5,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,Bareland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Shrubland,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Wetland,0,0,0,56,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Water,0,0,0,0,0,0,59,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Forest,0,0,0,45,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Grassland,0,0,0,7,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,Bareland,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,Water,1,43,0,0,47,0,0,40,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,Wetland,1,0,0,12,26,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,Bareland,0,2,0,0,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,Built-up,0,0,0,0,3,0,0,8,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,Forest,9,27,0,13,0,0,0,46,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,Grassland,0,9,0,5,16,0,0,16,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,Cropland,0,0,0,0,5,0,0,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUA_M_R,Water,0,53,12,0,32,0,0,0,0,10,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUA_M_R,Forest,0,35,1,30,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUA_M_R,Wetland,0,0,3,26,33,0,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUA_M_R,Grassland,0,16,0,3,10,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUA_M_R,Cropland,0,4,0,0,1,0,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUA_M_R,Wetland,33,0,1,26,38,0,0,0,11,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUA_M_R,Water,21,25,12,0,47,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUA_M_R,Forest,19,11,1,9,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUA_M_R,Grassland,0,1,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUA_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
