Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Shrubland,126,116,62,17,21,30,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Grassland,0,244,249,94,74,48,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Non_Wetland,7,9,16,1,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Bareland,76,76,10,7,0,20,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Water,325,596,478,9,115,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Forest,630,0,478,122,114,150,314,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Cropland,390,358,96,0,110,103,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Wetland,109,152,0,0,1,0,88,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R,Built-up,119,209,5,22,35,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Non_Wetland,10,4,9,0,2,0,6,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Shrubland,66,26,31,0,26,2,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Grassland,0,109,101,0,30,14,59,112,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Cropland,549,171,63,0,78,61,37,229,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Wetland,381,79,0,0,17,1,279,63,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Bareland,149,17,4,0,0,2,40,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Built-up,125,23,10,0,49,0,26,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Water,498,171,177,0,29,62,0,144,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Forest,918,0,508,0,210,76,589,695,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Shrubland,0,0,0,0,0,0,0,0,143,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Grassland,0,0,54,0,0,0,40,0,487,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Wetland,0,0,0,0,0,0,34,0,552,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Water,0,0,306,0,0,0,0,0,577,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Forest,0,0,237,0,0,0,173,0,1539,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Cropland,0,0,2,0,0,0,4,0,234,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Bareland,0,0,8,0,0,0,1,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,Built-up,0,0,1,0,0,0,7,0,49,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYV_M_R,Grassland,0,56,176,45,107,12,88,114,0,0,0
