Dataset,MajorityClass,Forest,Bareland,Wetland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Grassland,119,29,14,42,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Non_Wetland,3,0,2,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Wetland,168,23,0,1,40,223,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Bareland,16,0,1,8,2,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Water,341,71,75,0,0,285,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Shrubland,8,3,0,4,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Cropland,16,4,1,7,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Built-up,15,4,0,0,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Forest,0,14,27,30,122,289,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Non_Wetland,3,0,4,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Grassland,63,36,89,0,26,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Bareland,11,0,23,0,12,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Water,120,7,252,0,0,177,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Forest,0,69,430,0,195,352,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Shrubland,5,2,11,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Cropland,2,1,2,0,0,31,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Wetland,21,1,0,0,120,38,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Built-up,14,19,23,0,2,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Grassland,0,0,13,0,8,0,0,214,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Wetland,0,0,0,0,1,0,0,148,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Forest,0,0,175,0,53,0,0,635,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Shrubland,0,0,0,0,0,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Water,0,0,249,0,0,0,0,315,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Cropland,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Bareland,0,0,10,0,1,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Built-up,0,0,0,0,0,0,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Non_Wetland,0,1,4,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Forest,0,151,271,0,231,476,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Grassland,3,89,118,0,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Shrubland,0,7,9,0,2,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Bareland,0,0,4,0,2,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Water,67,64,172,0,0,192,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Cropland,0,20,4,0,2,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Wetland,15,23,0,0,98,128,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Built-up,0,42,27,0,0,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,Permanent_ice_and_snow,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,Grassland,0,0,0,0,45,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,Wetland,0,0,0,0,223,0,0,0,49,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,Bareland,0,0,0,0,16,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,Built-up,0,0,0,0,3,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,Water,0,0,0,0,0,0,0,0,156,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,Forest,0,0,0,0,195,0,0,0,115,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Grassland,84,48,13,64,8,0,105,0,0,86,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Bareland,8,0,10,28,1,8,14,0,0,18,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Forest,0,173,175,67,53,189,206,0,0,83,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Wetland,17,19,0,15,1,26,42,0,0,3,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Water,112,149,249,36,0,145,130,0,0,19,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Built-up,2,0,0,0,0,1,8,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Cropland,5,0,0,0,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,Grassland,49,4,7,54,69,0,0,0,0,99,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,Bareland,5,0,0,4,14,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,Built-up,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,Forest,0,0,74,64,352,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,Water,35,14,53,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,Wetland,31,9,0,13,127,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Forest,0,7,8,0,4,13,0,0,0,12,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Water,395,31,58,0,0,4,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Cropland,2,2,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Grassland,179,53,9,0,39,0,0,0,0,53,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Wetland,214,9,0,0,37,0,0,0,0,7,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Bareland,5,0,0,0,0,0,0,0,0,1,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Built-up,16,3,0,0,0,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,Shrubland,4,0,0,0,0,0,0,0,0,0,0,0
