Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Water,Bareland,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Shrubland,4,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Grassland,0,3,28,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Cropland,11,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Wetland,25,0,31,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Bareland,7,0,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Built-up,11,0,15,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Water,46,0,97,5,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Forest,79,6,0,3,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Grassland,0,6,17,4,0,1,12,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Cropland,5,0,3,0,0,2,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Bareland,1,0,1,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Built-up,12,0,4,1,0,3,14,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Wetland,2,0,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Water,38,8,33,69,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Forest,74,14,0,69,33,4,38,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,Grassland,0,0,9,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,Shrubland,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,Built-up,3,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,Forest,23,0,0,52,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,Water,6,0,19,34,0,0,0,0,0,0,0
