Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Shrubland,296,62,77,94,200,143,24,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Grassland,0,83,66,97,311,150,116,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Non_Wetland,4,1,0,0,5,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Bareland,241,0,55,113,143,3,54,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Built-up,235,79,0,14,203,2,72,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Water,1118,194,16,0,823,605,70,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Forest,860,121,141,431,0,299,139,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Cropland,481,117,124,43,331,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Wetland,188,6,0,76,78,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Non_Water,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFK_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Non_Wetland,8,0,0,5,3,8,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Shrubland,118,28,19,56,30,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Grassland,0,46,38,125,129,112,0,327,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Cropland,528,139,141,56,151,55,0,333,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Wetland,112,6,0,245,27,0,0,239,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Bareland,123,0,55,84,33,0,0,92,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Built-up,137,91,0,19,36,25,0,135,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Water,797,147,31,0,320,133,0,886,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Forest,786,167,58,478,0,275,0,1192,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Non_Water,2,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Non_Wetland,2,10,0,2,0,7,0,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Grassland,0,220,27,64,63,71,118,301,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Wetland,64,324,0,63,3,0,1,323,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Forest,815,854,42,293,0,221,165,1056,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Bareland,137,0,21,8,3,0,33,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Built-up,195,179,0,0,22,3,20,106,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Water,528,1228,13,0,193,180,9,975,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Non_Water,1,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Shrubland,112,120,18,27,20,26,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Cropland,481,259,96,18,41,4,0,186,0,0,0
