Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Shrubland,Grassland,Cropland,Built-up,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Grassland,52,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Wetland,95,0,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Forest,329,114,37,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Shrubland,17,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Water,139,127,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Grassland,0,28,0,20,11,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Non_Wetland,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Shrubland,0,7,1,5,7,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Wetland,0,0,66,19,7,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Water,0,188,0,75,0,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Forest,0,208,106,0,39,30,109,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
