Dataset,MajorityClass,Forest,Water,Grassland,Wetland,Built-up,Bareland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Grassland,7,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Non_Wetland,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Wetland,75,40,95,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Shrubland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Forest,0,123,97,2,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Water,230,0,97,30,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,Grassland,0,1,0,3,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,Wetland,0,6,0,0,0,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,Forest,0,43,0,76,0,0,455,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
