Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Cropland,Water,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Forest
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Shrubland,1,1,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Grassland,0,5,7,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Cropland,44,4,15,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Wetland,67,0,48,0,4,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Bareland,81,23,0,15,12,28,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Built-up,8,0,5,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Forest,38,16,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Water,64,28,73,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEU_M_R,Permanent_ice_and_snow,6,0,31,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Bareland,0,35,0,0,0,15,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Grassland,0,6,0,0,0,2,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Wetland,0,0,0,0,0,2,0,63,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Water,0,32,0,0,0,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Cropland,0,1,0,0,0,1,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Forest,0,0,0,0,0,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEU_M_R,Permanent_ice_and_snow,0,5,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Wetland,0,0,0,0,0,49,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Bareland,0,0,0,0,0,80,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Grassland,0,0,0,0,0,4,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Water,0,0,0,0,0,0,0,0,40,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Permanent_ice_and_snow,0,0,0,0,0,9,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEU_M_R,Forest,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Cropland,4,1,12,10,0,1,0,0,0,14,5,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Bareland,19,35,0,46,3,15,2,0,0,51,11,24
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Built-up,1,1,8,0,0,0,0,0,0,4,0,1
