Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Wetland,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Shrubland,229,40,144,43,85,41,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Grassland,0,242,272,58,125,92,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Non_Wetland,10,3,10,1,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Bareland,119,36,103,34,2,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Water,951,270,833,14,446,0,153,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Forest,1073,337,0,181,250,358,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Cropland,743,0,553,191,70,112,174,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Wetland,313,37,174,2,0,81,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Built-up,219,103,199,0,0,22,72,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEG_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Non_Wetland,4,0,2,0,18,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Shrubland,80,0,23,3,61,32,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Grassland,0,0,162,25,236,133,32,176,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Cropland,737,0,326,86,399,137,203,371,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Wetland,63,0,88,0,0,253,1,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Bareland,92,0,24,13,14,45,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Built-up,168,0,49,0,23,28,120,92,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Forest,718,0,0,55,787,440,218,742,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEG_M_R,Water,553,0,339,50,497,0,38,346,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Wetland,0,0,0,0,0,68,0,0,1011,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Shrubland,0,0,0,0,0,0,0,0,177,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Grassland,0,0,0,0,49,76,0,0,519,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Forest,0,0,0,0,125,211,0,0,1557,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Water,0,0,0,0,291,0,0,0,837,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Cropland,0,0,0,0,16,34,0,0,675,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Bareland,0,0,0,0,3,8,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEG_M_R,Built-up,0,0,0,0,1,7,0,0,54,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Grassland,0,93,94,15,200,26,198,186,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Non_Wetland,4,1,1,0,10,0,8,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Wetland,52,5,20,0,0,24,279,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Forest,596,204,0,17,806,96,899,740,0,0,0,0
