Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Wetland,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Water,359,31,249,31,694,0,1140,382,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Shrubland,58,15,17,6,39,5,75,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Cropland,636,0,150,96,253,21,454,271,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Bareland,69,7,2,7,1,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEG_M_R,Built-up,177,33,28,0,32,1,162,60,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Grassland,0,0,0,0,0,215,0,0,0,75,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Wetland,0,0,0,0,0,249,0,0,0,119,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Shrubland,0,0,0,0,0,26,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Cropland,0,0,0,0,0,155,0,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Bareland,0,0,0,0,0,19,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Water,0,0,0,0,0,0,0,0,0,559,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Forest,0,0,0,0,0,382,0,0,0,236,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEG_M_R,Built-up,0,0,0,0,0,15,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Grassland,0,633,321,182,49,76,42,612,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Wetland,0,130,255,4,0,68,16,332,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Bareland,0,220,14,111,3,8,0,112,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Forest,42,1040,0,293,125,211,110,1005,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Water,3,820,459,133,291,0,196,708,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Cropland,10,0,249,189,16,34,23,533,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Built-up,0,229,28,0,1,7,3,126,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEG_M_R,Shrubland,0,27,22,9,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Grassland,0,783,239,121,3,124,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Wetland,0,546,151,5,0,215,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Forest,0,924,0,368,27,580,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Shrubland,0,195,67,32,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Water,0,714,147,45,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Bareland,0,155,13,101,0,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Built-up,0,74,8,0,0,3,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEG_M_R,Cropland,0,0,167,145,0,39,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Wetland,121,22,264,0,0,149,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Forest,232,162,0,0,74,167,73,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Shrubland,69,49,177,0,16,48,19,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Cropland,262,0,361,0,41,156,139,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Water,108,15,648,0,170,0,22,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Built-up,21,103,148,0,0,26,56,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Bareland,7,13,44,0,0,25,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEG_M_R,Grassland,0,83,224,0,26,102,66,0,0,0,0,1
