Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Grassland,391,54,13,15,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Non_Wetland,13,0,0,1,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Water,864,544,82,6,0,1103,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Wetland,1034,0,24,11,243,1381,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Bareland,109,5,0,15,2,208,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Built-up,191,0,54,0,14,232,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Forest,0,63,28,77,103,715,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Shrubland,29,3,3,3,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Cropland,70,0,1,3,0,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Wetland,0,0,0,0,157,0,1195,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Grassland,0,124,0,0,24,0,960,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Forest,0,322,0,0,107,0,1562,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Water,0,576,0,0,0,0,1064,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Shrubland,0,0,0,0,0,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Bareland,0,14,0,0,3,0,92,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Cropland,0,0,0,0,0,0,60,0,0,0,0,0
