Dataset,MajorityClass,Shrubland,Grassland,Forest,Wetland,Water,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Non_Wetland,7,15,5,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Shrubland,0,75,18,22,5,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Grassland,111,0,77,105,28,21,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Wetland,180,1000,93,0,310,8,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Bareland,1,150,9,1,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Built-up,22,195,23,13,2,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Water,74,816,117,189,0,75,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Forest,500,1184,0,275,196,126,81,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Cropland,62,456,89,44,23,18,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Non_Wetland,0,3,4,28,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Shrubland,0,63,72,178,1,7,8,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Grassland,0,0,293,621,30,25,40,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Wetland,0,192,345,0,210,17,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Bareland,0,70,79,57,21,0,32,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Built-up,0,79,158,109,14,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Water,0,172,424,843,0,44,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Forest,0,365,0,1113,144,41,111,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Cropland,0,225,196,382,15,47,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Non_Wetland,6,8,5,6,3,2,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Grassland,134,0,43,245,154,77,41,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Wetland,232,525,61,0,453,31,26,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Forest,606,933,0,523,271,314,100,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Water,118,408,89,403,0,138,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Shrubland,0,49,10,23,15,21,4,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Bareland,1,26,2,21,47,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Cropland,70,249,44,93,106,121,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Built-up,17,127,5,11,7,142,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVU_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Shrubland,0,0,0,0,0,0,0,0,205,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Wetland,0,0,0,0,73,0,0,0,807,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Grassland,0,0,0,114,75,0,0,0,839,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Forest,0,0,0,344,205,0,0,0,1586,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Bareland,0,0,0,12,18,0,0,0,74,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Water,0,0,0,401,0,0,0,0,476,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Built-up,0,0,0,16,29,0,0,0,128,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVU_M_R,Cropland,0,0,0,11,9,0,0,0,466,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Grassland,0,0,0,0,197,0,0,0,0,93,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Water,0,0,0,0,0,0,0,0,0,479,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Shrubland,0,0,0,0,19,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Wetland,0,0,0,0,414,0,0,0,0,383,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Bareland,0,0,0,0,22,0,0,0,0,24,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Built-up,0,0,0,0,25,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Forest,0,0,0,0,337,0,0,0,0,164,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVU_M_R,Cropland,0,0,0,0,41,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Grassland,419,0,305,114,75,48,81,394,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Forest,530,165,0,344,205,87,143,484,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Wetland,191,31,220,0,73,47,18,162,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Bareland,98,5,46,12,18,0,107,142,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Built-up,78,8,58,16,29,1,0,112,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Water,141,6,306,401,0,43,48,149,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Shrubland,0,9,11,0,0,1,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Cropland,158,21,104,11,9,1,29,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVU_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Grassland,0,0,237,46,35,2,117,358,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Forest,0,0,0,173,219,0,275,295,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Wetland,0,0,323,0,211,6,73,208,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Shrubland,0,0,31,5,0,0,13,33,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Bareland,0,0,26,1,11,0,51,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Built-up,0,0,11,0,2,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Water,0,0,163,156,0,31,73,111,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Cropland,0,0,31,0,0,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVU_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVU_M_R,Shrubland,0,27,85,3,5,2,0,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVU_M_R,Wetland,0,302,756,0,237,54,0,135,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVU_M_R,Forest,0,80,0,21,68,30,0,108,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVU_M_R,Bareland,0,4,27,0,21,0,0,21,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVU_M_R,Built-up,0,16,88,0,15,16,0,50,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVU_M_R,Water,0,96,474,71,0,35,0,53,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVU_M_R,Cropland,0,26,48,0,10,13,0,0,0,0,0,0
