Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Shrubland,Wetland,Non_Water,Cropland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Shrubland,13,34,9,19,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Grassland,0,66,23,12,22,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Bareland,18,0,126,124,13,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Built-up,25,125,0,89,39,57,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Forest,63,312,124,142,0,238,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Non_Water,0,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Water,8,307,173,0,106,153,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Cropland,48,80,35,10,29,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Wetland,12,399,61,291,130,217,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,Permanent_ice_and_snow,0,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Non_Water,1,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Water,151,236,104,0,290,270,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Shrubland,19,10,11,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Grassland,0,15,21,2,51,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Cropland,53,23,38,5,72,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Wetland,211,125,42,107,307,294,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Bareland,81,0,71,37,74,78,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Built-up,79,105,0,23,86,88,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Forest,164,100,102,27,0,221,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,Permanent_ice_and_snow,0,1,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Grassland,0,0,0,31,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Bareland,0,0,0,146,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Built-up,0,0,0,106,0,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Shrubland,0,0,0,18,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Cropland,0,0,0,14,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Wetland,0,0,0,243,0,0,0,164,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Water,0,0,0,0,0,0,0,338,0,0,0
