Dataset,MajorityClass,Forest,Wetland,Built-up,Cropland,Bareland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Grassland,280,134,81,54,58,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Non_Wetland,4,4,2,1,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Built-up,139,30,0,5,60,11,267,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Cropland,59,6,9,0,2,0,107,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Wetland,377,0,28,78,159,161,1149,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Bareland,183,185,50,3,0,143,541,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Water,423,716,16,4,262,0,587,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Forest,0,390,96,36,106,98,939,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Shrubland,6,6,3,1,2,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLU_M_R,Non_Wetland,1,4,0,0,2,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLU_M_R,Grassland,220,294,71,0,186,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLU_M_R,Cropland,44,21,10,0,29,1,77,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLU_M_R,Wetland,313,0,56,0,511,727,671,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLU_M_R,Bareland,148,201,67,0,0,224,223,0,0,0,0,0
