Dataset,MajorityClass,Forest,Bareland,Wetland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Grassland,432,70,279,79,133,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Non_Wetland,5,0,8,1,2,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Cropland,135,4,28,0,32,0,190,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Wetland,510,97,0,110,28,171,1261,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Bareland,230,0,74,3,110,70,449,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Built-up,186,62,16,3,0,15,284,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Water,482,95,579,3,10,0,517,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Forest,0,39,279,17,127,112,873,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Shrubland,13,2,13,1,4,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKU_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Non_Wetland,2,3,8,0,0,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Grassland,257,220,314,0,143,91,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Cropland,65,31,41,0,19,8,155,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Wetland,344,375,0,0,31,670,1107,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Bareland,86,0,36,0,67,114,202,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Built-up,48,115,49,0,0,20,152,0,0,0,0,0
