Dataset,MajorityClass,Forest,Bareland,Cropland,Built-up,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Grassland,210,66,8,56,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Non_Wetland,5,1,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Wetland,71,5,0,1,12,0,87,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Bareland,68,0,0,14,14,0,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Built-up,67,30,0,0,0,0,101,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Water,460,168,0,3,0,31,384,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Forest,0,75,1,41,107,16,318,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Shrubland,13,3,0,5,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Cropland,65,12,0,15,0,0,61,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPS_M_R,Permanent_ice_and_snow,3,1,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Non_Wetland,2,2,0,0,1,4,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Grassland,74,81,0,29,56,90,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Wetland,4,0,0,0,16,0,49,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Bareland,20,0,0,15,24,112,125,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Built-up,23,39,0,0,0,7,59,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Water,130,30,0,0,0,379,305,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Forest,0,116,0,26,198,455,478,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Shrubland,8,3,0,6,2,4,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Cropland,15,26,0,18,5,5,81,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPS_M_R,Permanent_ice_and_snow,1,0,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Non_Wetland,0,1,0,0,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Bareland,0,0,0,1,98,14,57,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Forest,0,190,0,29,311,326,553,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Grassland,18,129,0,31,79,168,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Shrubland,0,9,0,1,4,10,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Built-up,0,64,0,0,12,12,59,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Cropland,1,45,0,8,8,25,69,0,0,0,0,0
