Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Shrubland,3,3,3,3,2,2,1,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Grassland,0,21,47,31,21,17,1,17,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Cropland,56,0,30,34,22,8,0,28,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Wetland,73,4,0,31,6,59,0,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Bareland,86,20,49,0,42,55,23,22,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Built-up,23,14,8,20,0,7,0,18,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Water,163,32,119,120,34,0,28,61,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Permanent_ice_and_snow,34,4,9,28,6,16,0,5,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R,Forest,61,29,42,34,22,24,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Grassland,0,0,7,0,0,4,0,0,96,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Cropland,0,0,7,0,0,3,0,0,34,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Bareland,0,0,18,0,0,14,0,0,76,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Built-up,0,0,2,0,0,2,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Forest,0,0,5,0,0,5,0,0,70,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Wetland,0,0,0,0,0,11,0,0,149,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Water,0,0,53,0,0,0,0,0,113,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Shrubland,0,0,0,0,0,6,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Grassland,0,0,0,0,0,57,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Cropland,0,0,0,0,0,38,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Wetland,0,0,0,0,0,113,0,0,0,37,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Bareland,0,0,0,0,0,114,0,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Built-up,0,0,0,0,0,31,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Water,0,0,0,0,0,0,0,0,0,107,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Forest,0,0,0,0,0,45,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,Permanent_ice_and_snow,0,0,0,0,0,9,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Water,83,59,53,84,22,0,8,80,0,0,145
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Cropland,45,0,7,25,15,3,0,31,0,0,59
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Wetland,28,34,0,9,2,11,0,34,0,0,39
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Bareland,63,46,18,0,36,29,11,41,0,0,98
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Built-up,16,17,2,18,0,2,0,12,0,0,26
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Permanent_ice_and_snow,17,9,0,15,2,19,0,20,0,0,32
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Forest,45,24,5,16,13,12,6,0,0,0,85
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,Grassland,0,34,7,25,8,4,0,41,0,0,50
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Grassland,0,30,51,15,37,48,0,16,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Wetland,0,20,0,12,18,47,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Bareland,0,31,27,0,60,58,6,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Built-up,0,3,3,3,0,2,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Water,0,36,74,76,68,0,13,10,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Forest,0,24,32,9,37,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Permanent_ice_and_snow,0,2,3,20,13,8,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,Cropland,0,0,4,3,39,19,0,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Water,51,5,24,66,0,0,35,66,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Cropland,11,0,0,9,0,6,2,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Wetland,50,19,0,43,0,39,13,41,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Bareland,10,11,2,0,0,25,23,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Built-up,12,10,0,22,0,14,7,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Forest,12,9,0,2,0,9,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Grassland,0,9,3,13,0,9,8,11,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,Permanent_ice_and_snow,0,0,0,5,0,10,0,3,0,0,0
