Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Grassland,Shrubland,Bareland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZB_M_R,Shrubland,13,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZB_M_R,Grassland,14,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZB_M_R,Wetland,11,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZB_M_R,Forest,259,123,47,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZB_M_R,Water,114,142,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZB_M_R,Shrubland,0,7,0,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZB_M_R,Grassland,0,10,0,7,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZB_M_R,Forest,0,229,109,0,30,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZB_M_R,Wetland,0,0,33,12,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZB_M_R,Water,0,189,0,105,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZB_M_R,Shrubland,0,0,0,6,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZB_M_R,Grassland,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZB_M_R,Wetland,0,0,26,85,36,0,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZB_M_R,Water,0,0,0,247,22,0,53,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZB_M_R,Forest,0,1,65,0,101,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZB_M_R,Grassland,0,2,0,8,0,22,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZB_M_R,Forest,0,123,47,0,8,118,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZB_M_R,Wetland,0,0,0,3,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZB_M_R,Water,0,142,0,143,2,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZB_M_R,Shrubland,0,6,3,0,8,0,0,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZB_M_R,Forest,0,85,127,0,99,26,30,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZB_M_R,Grassland,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZB_M_R,Wetland,0,0,71,5,16,0,4,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZB_M_R,Water,0,49,0,34,14,3,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZB_M_R,Water,0,0,0,0,0,0,0,0,0,125,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZB_M_R,Wetland,0,0,14,0,0,0,0,0,0,34,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZB_M_R,Forest,0,0,87,0,0,0,0,0,0,68,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZB_M_R,Water,0,65,0,48,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZB_M_R,Wetland,0,0,39,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZB_M_R,Forest,0,47,152,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZB_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZB_M_R,Grassland,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZB_M_R,Forest,0,1,53,0,8,0,10,0,46,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZB_M_R,Water,0,11,0,168,1,0,9,0,43,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZB_M_R,Grassland,0,0,0,10,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZB_M_R,Wetland,0,0,24,76,0,0,3,0,16,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZB_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0
