Dataset,MajorityClass,Grassland,Cropland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Shrubland,3,1,1,1,1,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Grassland,0,11,1,24,18,5,28,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Cropland,41,0,0,20,13,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Wetland,25,0,0,8,1,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Bareland,50,8,0,0,9,3,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Built-up,15,6,0,10,0,3,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Water,131,4,0,69,12,0,112,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Forest,67,20,2,38,24,12,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R,Permanent_ice_and_snow,13,0,0,10,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Grassland,0,0,0,0,0,23,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Water,0,0,0,0,0,0,0,0,83,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Wetland,0,0,0,0,0,2,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Built-up,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Forest,0,0,0,0,0,32,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Bareland,0,0,0,0,0,12,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,Cropland,0,0,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,Grassland,0,0,0,0,0,4,0,6,0,9,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,Forest,0,0,0,0,0,14,0,16,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,Wetland,0,0,0,0,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,Bareland,0,0,0,0,0,14,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,Water,0,0,0,0,0,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Cropland,20,0,0,8,10,1,25,0,0,0,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Wetland,1,0,0,0,5,0,6,0,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Bareland,22,17,0,0,19,14,27,8,0,0,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Built-up,8,6,0,4,0,1,12,0,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Water,37,23,0,16,24,0,52,29,0,0,54,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Forest,40,20,0,21,22,14,0,16,0,0,57,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Grassland,0,12,0,8,10,4,28,6,0,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,Permanent_ice_and_snow,3,1,0,4,1,0,7,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Grassland,0,33,0,5,29,36,32,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Wetland,0,3,0,1,7,17,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Built-up,0,3,0,1,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Water,0,26,0,26,42,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Forest,0,33,0,10,36,51,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Cropland,0,0,0,3,19,6,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Bareland,0,16,0,0,21,27,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,Permanent_ice_and_snow,0,0,0,2,7,4,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,Cropland,8,0,0,5,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,Wetland,4,0,0,3,0,7,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,Bareland,4,2,0,0,0,5,3,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,Built-up,11,7,0,8,0,6,9,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,Water,19,6,0,38,0,0,35,3,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,Forest,24,11,0,16,0,26,0,5,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,Grassland,0,5,0,6,0,7,7,2,0,0,0,2
