Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Shrubland,218,93,36,54,4,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Grassland,0,381,85,323,60,61,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Non_Wetland,13,7,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Bareland,404,87,55,72,0,76,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Built-up,551,316,0,177,195,42,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Water,1505,1072,75,508,426,0,327,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Forest,1624,0,278,519,147,376,194,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Cropland,1214,754,287,0,267,183,92,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Wetland,982,623,12,465,38,214,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGV_M_R,Non_Water,4,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Non_Wetland,2,2,0,0,1,3,16,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Shrubland,30,28,25,0,31,21,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Grassland,0,193,116,0,93,314,416,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Cropland,359,440,344,0,351,516,749,158,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Bareland,11,62,104,0,0,318,35,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Built-up,58,108,0,0,210,111,122,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Forest,408,0,279,0,274,701,1217,256,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Non_Water,0,0,0,0,0,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Water,213,379,199,0,150,0,844,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGV_M_R,Wetland,32,186,17,0,16,676,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Grassland,0,218,45,79,137,198,321,114,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Non_Wetland,2,2,0,0,1,1,13,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Built-up,159,95,0,46,352,54,121,101,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Forest,412,0,99,164,597,522,972,361,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Non_Water,0,1,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Water,70,555,41,89,657,0,655,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Shrubland,27,34,5,11,40,14,35,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Bareland,40,72,38,9,0,226,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Cropland,435,382,205,0,509,297,461,242,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGV_M_R,Wetland,52,287,3,31,42,634,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Grassland,0,0,0,0,0,36,136,0,841,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Wetland,0,0,0,0,0,53,0,0,1445,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Forest,0,0,0,0,0,139,305,0,2329,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Shrubland,0,0,0,0,0,0,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Cropland,0,0,0,0,0,44,112,0,1270,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Water,0,0,0,0,0,0,691,0,1318,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Bareland,0,0,0,0,0,23,101,0,52,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGV_M_R,Built-up,0,0,0,0,0,7,22,0,251,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Water,0,0,0,0,0,0,0,0,0,1718,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Shrubland,0,0,0,0,0,5,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Grassland,0,0,0,0,0,97,0,0,0,258,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Bareland,0,0,0,0,0,130,0,0,0,303,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Cropland,0,0,0,0,0,196,0,0,0,363,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Built-up,0,0,0,0,0,38,0,0,0,95,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Wetland,0,0,0,0,0,212,0,0,0,800,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGV_M_R,Forest,0,0,0,0,0,376,0,0,0,577,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Grassland,0,314,176,770,142,36,136,663,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Wetland,3,319,16,376,115,53,0,346,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Bareland,1,15,328,468,0,23,101,246,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Built-up,1,103,0,383,27,7,22,296,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Forest,141,0,372,1175,324,139,305,1168,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Cropland,31,333,311,0,118,44,112,763,0,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Water,37,567,247,994,528,0,691,833,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGV_M_R,Shrubland,0,4,1,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Grassland,0,233,310,909,7,142,162,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Wetland,0,216,86,719,7,386,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Built-up,0,22,0,200,12,25,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Forest,0,0,710,1406,2,614,269,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Shrubland,0,22,44,107,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Bareland,0,48,215,331,0,115,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Water,0,182,298,1292,46,0,357,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGV_M_R,Cropland,0,150,348,0,10,79,61,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Wetland,459,589,0,136,47,315,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Built-up,168,296,0,266,109,80,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Water,317,762,0,195,215,0,309,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Forest,348,0,0,247,47,215,114,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Cropland,436,474,0,0,85,175,88,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Bareland,33,82,0,43,0,62,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Shrubland,29,100,0,42,3,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGV_M_R,Grassland,0,192,0,84,15,48,22,0,0,0,0,0
