Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Cropland,Shrubland,Built-up,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R,Shrubland,11,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R,Forest,24,0,19,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R,Water,17,99,0,14,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R,Wetland,6,29,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R,Cropland,3,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,Shrubland,1,1,2,0,6,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,Forest,11,0,49,0,33,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,Grassland,0,3,2,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,Wetland,1,0,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,Water,1,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,Grassland,0,1,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,Forest,4,0,12,0,48,0,71,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,Water,1,59,0,0,61,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,Cropland,1,1,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,Grassland,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,Shrubland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,Forest,13,0,20,0,85,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,Water,0,23,0,0,76,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,Wetland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,Shrubland,0,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,Grassland,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,Forest,0,0,12,0,48,0,0,0,97,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,Water,0,0,0,0,61,0,0,0,40,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,Wetland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,Wetland,0,7,24,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,Forest,0,0,68,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,Water,0,19,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZC_M_R,Wetland,0,0,3,0,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZC_M_R,Water,0,0,0,0,0,0,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZC_M_R,Forest,0,0,30,0,0,0,0,0,0,24,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,Water,1,71,0,5,0,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,Forest,6,0,49,8,2,25,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,Shrubland,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,Grassland,0,1,0,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,Wetland,0,20,8,0,0,2,0,0,0,0,1
