Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Wetland,Water,Cropland,Non_Water,Non_Wetland,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Shrubland,2,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Grassland,0,12,8,22,6,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Cropland,17,2,3,12,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Wetland,35,11,0,22,0,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Bareland,37,0,1,14,0,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Built-up,7,4,0,8,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Water,70,55,0,70,10,0,4,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXH_M_R,Forest,67,32,12,0,13,21,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Grassland,0,0,0,0,0,20,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Wetland,0,0,0,0,0,30,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Bareland,0,0,0,0,0,43,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Forest,0,0,0,0,0,66,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Built-up,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Water,0,0,0,0,0,0,0,66,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXH_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,Grassland,0,0,0,0,8,2,0,0,16,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,Forest,0,0,0,0,25,12,0,0,23,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,Built-up,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,Water,0,0,0,0,45,0,0,0,8,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,Wetland,0,0,0,0,0,0,0,0,18,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXH_M_R,Bareland,0,0,0,0,19,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,Cropland,7,1,5,7,0,0,0,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,Bareland,17,0,10,15,19,5,3,0,0,23
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,Built-up,4,2,0,2,1,0,2,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,Water,36,16,12,42,45,0,14,0,0,31
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,Forest,42,14,19,0,25,12,17,0,0,50
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,Grassland,0,3,5,18,8,2,7,0,0,25
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXH_M_R,Wetland,7,0,0,8,0,0,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,Grassland,0,1,9,17,7,24,19,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,Wetland,0,10,3,13,0,20,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,Built-up,0,0,0,1,0,1,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,Forest,0,3,13,0,6,42,21,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,Water,0,28,5,25,3,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,Cropland,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXH_M_R,Bareland,0,0,0,8,0,36,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,Wetland,14,11,0,25,0,17,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,Built-up,2,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,Water,18,46,0,49,4,0,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,Forest,16,8,0,0,6,13,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,Cropland,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,Grassland,0,6,0,10,3,3,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXH_M_R,Bareland,0,0,0,6,0,2,0,0,0,0
