Dataset,MajorityClass,Forest,Built-up,Water,Grassland,Bareland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Cropland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Grassland,8,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Water,152,0,0,20,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Wetland,13,0,14,15,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Bareland,3,1,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Built-up,11,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Forest,0,2,108,64,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Grassland,0,0,13,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Wetland,2,0,17,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Built-up,0,0,6,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Forest,0,0,234,103,28,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,Water,35,0,0,41,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Bareland,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Forest,0,0,105,37,0,202,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Built-up,0,0,0,4,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Grassland,0,0,1,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Wetland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,Water,57,0,0,4,0,118,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,Bareland,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,Forest,0,0,52,0,0,108,172,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,Grassland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,Water,0,0,0,0,0,99,54,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,Grassland,5,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,Bareland,2,8,0,4,0,0,0,0,0,0,0
