Dataset,MajorityClass,Forest,Built-up,Wetland,Grassland,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Grassland,50,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Non_Wetland,5,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Wetland,166,0,0,206,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Bareland,14,0,0,16,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Shrubland,14,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Water,259,0,161,187,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Built-up,18,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Forest,0,0,21,135,35,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTQ_M_R,Non_Wetland,1,0,3,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTQ_M_R,Grassland,12,0,57,0,3,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTQ_M_R,Bareland,1,0,5,7,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTQ_M_R,Forest,0,0,341,142,167,32,5,0,0,0,0,0
