Dataset,MajorityClass,Grassland,Forest,Water,Wetland,Bareland,Built-up,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Shrubland,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Grassland,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Cropland,3,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Wetland,39,24,21,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Bareland,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Water,42,46,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R,Forest,48,0,26,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBS_M_R,Grassland,0,0,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBS_M_R,Wetland,0,0,20,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBS_M_R,Forest,0,0,37,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBS_M_R,Water,0,0,0,0,0,0,48,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBS_M_R,Bareland,0,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,Cropland,1,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,Wetland,2,6,6,0,0,1,0,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,Water,12,15,0,24,10,9,0,15,9,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,Forest,14,0,8,20,16,12,0,30,15,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,Grassland,0,3,0,3,0,0,0,4,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBS_M_R,Forest,0,0,30,28,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBS_M_R,Grassland,0,4,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBS_M_R,Water,0,11,0,25,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBS_M_R,Wetland,0,1,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBS_M_R,Wetland,0,0,6,0,0,0,0,0,0,0,26
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBS_M_R,Grassland,0,0,0,3,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBS_M_R,Forest,0,0,8,20,0,0,0,0,0,0,27
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBS_M_R,Water,0,0,0,24,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBS_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBS_M_R,Wetland,2,25,8,0,1,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBS_M_R,Water,3,55,0,9,10,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBS_M_R,Forest,6,0,7,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBS_M_R,Grassland,0,4,0,0,0,0,0,0,0,0,0
