Dataset,MajorityClass,Forest,Cropland,Built-up,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Grassland,143,16,42,41,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Non_Wetland,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Cropland,41,0,16,4,0,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Wetland,77,0,0,12,36,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Bareland,14,0,8,0,12,0,65,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Shrubland,9,0,1,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Water,293,0,0,96,0,81,226,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Built-up,4,0,0,3,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R,Forest,0,1,32,17,92,12,222,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Grassland,37,0,0,49,57,67,0,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Non_Wetland,0,0,0,0,0,1,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Cropland,12,0,0,17,1,11,66,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Bareland,5,0,0,0,14,41,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Forest,0,0,0,52,172,271,331,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Shrubland,1,0,0,4,1,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Wetland,8,0,0,0,46,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Water,80,0,0,1,0,257,222,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,Built-up,0,0,0,7,1,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQP_M_R,Grassland,0,0,0,0,18,35,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQP_M_R,Wetland,0,0,0,0,2,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQP_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQP_M_R,Cropland,0,0,0,0,0,1,0,0,13,0,0,0
