Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Water,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Grassland,0,0,0,0,6,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Wetland,0,0,0,0,37,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Bareland,0,0,0,0,36,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Water,0,0,0,0,0,0,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Forest,0,0,0,0,55,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Cropland,0,0,0,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,Water,27,40,29,20,0,12,5,0,0,36,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,Cropland,7,1,5,5,0,1,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,Bareland,8,18,11,0,2,4,1,0,0,19,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,Built-up,6,0,2,0,0,0,3,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,Forest,31,32,0,28,10,14,17,0,0,42,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,Grassland,0,3,10,5,0,2,6,0,0,5,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,Wetland,0,0,2,0,2,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,Grassland,0,0,12,0,4,6,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,Wetland,0,0,17,6,14,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,Forest,0,5,0,3,42,22,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,Water,0,11,34,24,0,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,Bareland,0,0,21,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,Cropland,0,0,1,0,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,Wetland,7,0,28,12,15,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,Water,2,5,65,43,0,0,2,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,Forest,9,0,0,12,9,0,7,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,Grassland,0,0,7,3,2,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,Bareland,0,0,6,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0,0
