Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Water,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Shrubland,3,3,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Grassland,0,8,9,1,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Cropland,19,0,12,3,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Wetland,26,0,15,3,22,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Bareland,17,2,12,0,30,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Built-up,7,0,8,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Water,42,17,59,41,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R,Forest,62,27,0,32,31,12,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,Grassland,0,3,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,Bareland,0,18,0,0,2,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,Forest,0,32,0,0,10,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,Water,0,40,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,Wetland,0,0,0,0,2,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,Shrubland,0,0,0,0,2,0,0,0,1,0,0,0
