Dataset,MajorityClass,Forest,Grassland,Cropland,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Shrubland,37,60,5,8,1,1,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Grassland,208,0,67,32,3,25,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Non_Wetland,9,9,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Cropland,223,252,0,62,6,44,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Wetland,241,326,14,6,114,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Bareland,48,69,11,1,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Forest,0,480,82,52,41,21,32,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Water,356,396,2,0,0,48,121,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R,Built-up,29,30,5,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Non_Wetland,2,3,0,0,0,2,12,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Shrubland,10,27,0,0,2,17,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Grassland,74,0,0,0,22,79,182,56,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Cropland,112,340,0,3,1,51,113,26,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Bareland,1,31,0,0,31,0,40,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Forest,0,530,0,3,154,152,550,152,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Wetland,1,43,0,0,189,1,0,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Water,22,240,0,0,0,13,410,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,Built-up,3,10,0,0,0,35,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Grassland,49,0,67,12,46,51,196,66,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Non_Wetland,0,2,0,1,3,2,12,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Forest,0,564,102,15,194,145,507,136,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Wetland,11,227,24,0,153,3,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Shrubland,5,28,5,2,5,13,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Bareland,1,109,29,0,25,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Water,33,248,18,0,0,1,344,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Cropland,40,316,0,13,4,88,124,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,Built-up,0,45,3,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Grassland,0,0,0,0,17,0,30,0,356,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Wetland,0,0,0,0,31,0,0,0,261,0
