Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Cropland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Shrubland,3,2,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Grassland,0,7,1,7,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Cropland,31,10,3,17,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Wetland,29,20,0,43,45,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Bareland,63,0,0,46,38,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Built-up,13,6,0,9,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Water,97,71,3,0,100,1,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Forest,72,46,10,53,0,4,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRQ_M_R,Permanent_ice_and_snow,6,2,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Cropland,0,0,0,10,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Wetland,0,0,0,38,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Bareland,0,0,0,64,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Water,0,0,0,0,0,0,0,137,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Forest,0,0,0,82,0,0,0,52,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Grassland,0,0,0,13,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRQ_M_R,Built-up,0,0,0,12,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Water,32,44,10,0,70,51,64,0,92,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Cropland,7,7,0,0,9,0,0,0,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Bareland,19,0,1,9,32,23,45,0,37,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Built-up,8,5,0,0,7,1,8,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Forest,26,37,10,13,0,36,49,0,74,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Grassland,0,1,0,2,14,2,9,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Wetland,1,2,0,0,6,0,10,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRQ_M_R,Permanent_ice_and_snow,0,1,0,0,3,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,Forest,0,21,30,56,0,14,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,Grassland,0,2,9,9,14,3,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,Water,0,60,41,0,60,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,Wetland,0,16,11,29,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,Bareland,0,0,13,39,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,Cropland,0,4,9,15,12,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRQ_M_R,Permanent_ice_and_snow,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,Bareland,0,0,0,9,0,23,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,Water,0,0,0,0,0,51,0,0,0,19,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,Forest,0,0,0,13,0,36,0,0,0,28,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,Grassland,0,0,0,2,0,2,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,Cropland,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRQ_M_R,Wetland,0,0,0,0,0,0,0,0,0,27,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,Water,20,55,0,0,65,27,37,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,Wetland,10,13,0,12,22,0,14,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,Bareland,2,0,0,6,17,3,5,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,Forest,21,24,0,25,0,11,21,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,Grassland,0,7,0,3,7,1,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,Built-up,0,0,0,2,5,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRQ_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
