Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland,Built-up,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Grassland,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Cropland,0,0,3,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Wetland,8,0,1,16,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Bareland,26,0,20,36,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Built-up,0,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Forest,46,12,0,42,44,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBH_M_R,Water,35,2,42,0,44,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBH_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBH_M_R,Forest,0,20,0,5,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBH_M_R,Water,0,30,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBH_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBH_M_R,Bareland,0,16,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBH_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBH_M_R,Grassland,0,0,0,3,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBH_M_R,Wetland,0,0,0,10,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBH_M_R,Bareland,0,0,0,55,0,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBH_M_R,Forest,0,0,0,57,0,0,0,39,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBH_M_R,Water,0,0,0,0,0,0,0,69,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBH_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBH_M_R,Water,27,30,29,0,25,13,0,0,37,10,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBH_M_R,Bareland,19,16,21,6,0,5,0,0,24,11,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBH_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBH_M_R,Forest,30,20,0,5,23,15,0,0,33,16,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBH_M_R,Grassland,0,0,5,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBH_M_R,Cropland,2,0,2,0,1,0,0,0,2,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBH_M_R,Wetland,0,0,6,6,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBH_M_R,Forest,0,1,0,52,13,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBH_M_R,Water,0,0,38,0,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBH_M_R,Bareland,0,0,30,38,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBH_M_R,Grassland,0,0,8,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBH_M_R,Cropland,0,0,2,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBH_M_R,Water,1,0,56,0,46,12,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBH_M_R,Forest,4,0,0,7,19,7,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBH_M_R,Wetland,0,0,11,0,9,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBH_M_R,Bareland,0,0,15,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBH_M_R,Grassland,0,0,5,2,3,0,0,0,0,0,0,0
