Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Shrubland,249,68,134,48,51,20,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Grassland,0,72,204,130,58,20,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Non_Wetland,14,5,8,3,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Bareland,427,0,152,66,58,1,144,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Water,650,409,570,41,13,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Forest,1032,234,0,197,182,27,130,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Wetland,114,15,65,7,4,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Built-up,325,93,211,54,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Non_Water,3,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Cropland,317,79,189,0,47,3,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KPV_M_R,Permanent_ice_and_snow,52,27,4,12,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Non_Wetland,3,3,2,0,1,21,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Shrubland,64,50,35,0,18,74,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Grassland,0,110,98,0,40,148,84,99,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Bareland,163,0,84,0,32,61,242,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Built-up,139,112,67,0,0,106,23,126,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Water,246,338,190,0,22,185,0,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Forest,564,470,0,0,150,516,379,494,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Non_Water,0,1,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Wetland,16,14,1,0,0,0,30,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Cropland,273,65,130,0,42,102,27,148,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPV_M_R,Permanent_ice_and_snow,17,12,4,0,0,22,19,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Wetland,0,0,0,0,0,0,0,0,213,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Grassland,0,0,0,0,0,23,9,0,274,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Water,0,0,0,0,0,176,0,0,292,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Forest,0,0,0,0,0,115,66,0,939,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Bareland,0,0,0,0,0,46,25,0,103,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Shrubland,0,0,0,0,0,0,0,0,151,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Built-up,0,0,0,0,0,2,0,0,181,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Cropland,0,0,0,0,0,3,0,0,195,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Non_Wetland,4,7,3,0,1,18,2,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Grassland,0,153,84,2,37,121,32,101,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Wetland,24,55,4,0,0,0,2,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Forest,678,747,0,0,121,490,210,512,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Bareland,311,0,24,0,11,13,57,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Built-up,228,184,34,0,0,86,6,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Water,177,638,121,0,6,178,0,106,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Non_Water,1,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Shrubland,83,95,30,0,18,59,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Cropland,424,140,116,0,37,102,9,81,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPV_M_R,Permanent_ice_and_snow,17,39,1,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Grassland,0,0,0,0,0,0,72,0,0,52,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Water,0,0,0,0,0,0,0,0,0,414,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Bareland,0,0,0,0,0,0,218,0,0,126,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Shrubland,0,0,0,0,0,0,26,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Wetland,0,0,0,0,0,0,32,0,0,27,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Cropland,0,0,0,0,0,0,10,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Built-up,0,0,0,0,0,0,7,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Forest,0,0,0,0,0,0,220,0,0,203,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Grassland,0,20,220,429,86,23,9,460,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Wetland,1,1,29,26,6,0,0,101,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Bareland,7,0,150,468,194,46,25,494,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Built-up,14,1,89,189,0,2,0,238,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Water,1,136,271,329,104,176,0,672,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Forest,70,37,0,720,213,115,66,1098,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Shrubland,0,0,9,19,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Cropland,5,0,110,0,22,3,0,237,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPV_M_R,Permanent_ice_and_snow,0,0,6,32,6,0,0,42,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Grassland,0,18,175,227,188,6,94,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Shrubland,0,2,45,50,79,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Forest,0,2,0,255,505,18,440,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Wetland,0,0,16,12,19,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Bareland,0,0,98,46,197,19,259,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Built-up,0,2,9,8,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Cropland,0,5,44,0,56,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Water,0,9,49,9,27,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPV_M_R,Permanent_ice_and_snow,0,0,2,0,15,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Wetland,34,5,72,6,0,0,31,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Forest,102,99,0,115,0,3,81,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Shrubland,30,22,138,45,0,2,8,0,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Bareland,9,0,111,31,0,10,67,0,0,0,0,113
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Water,13,153,377,12,0,4,0,0,0,0,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Built-up,7,56,212,55,0,0,9,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Cropland,35,53,69,0,0,0,6,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPV_M_R,Grassland,0,108,196,97,0,6,62,0,0,0,0,50
