Dataset,MajorityClass,Forest,Bareland,Wetland,Built-up,Water,Grassland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Grassland,332,56,23,67,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Non_Wetland,7,0,2,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Cropland,74,5,0,26,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Wetland,459,7,0,4,159,449,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Bareland,207,0,1,58,18,212,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Built-up,181,74,2,0,13,230,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Water,752,111,264,16,0,531,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Forest,0,64,80,106,65,472,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Shrubland,31,6,2,9,1,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXR_M_R,Lichens_and_Mosses,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Non_Wetland,3,2,8,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Grassland,113,152,147,87,77,0,0,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Cropland,24,22,23,11,1,68,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Wetland,98,49,0,10,363,149,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Bareland,49,0,52,90,70,148,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Built-up,28,93,42,0,13,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Water,194,112,492,80,0,309,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Forest,0,282,572,145,305,562,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Shrubland,9,9,14,6,5,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXR_M_R,Lichens_and_Mosses,0,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Grassland,0,0,66,0,10,0,0,0,343,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Wetland,0,0,0,0,52,0,0,0,338,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Forest,0,0,347,0,87,0,0,0,884,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Bareland,0,0,38,0,8,0,0,0,87,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Shrubland,0,0,0,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Water,0,0,475,0,0,0,0,0,530,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Built-up,0,0,36,0,6,0,0,0,72,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXR_M_R,Cropland,0,0,2,0,0,0,0,0,37,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Wetland,59,178,0,4,302,323,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Non_Wetland,0,5,5,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Forest,0,537,384,100,275,665,20,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Grassland,48,285,119,71,64,0,6,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Shrubland,1,25,15,7,6,18,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Built-up,3,188,32,0,24,127,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Water,111,349,387,17,0,259,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Cropland,9,65,15,11,4,56,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Lichens_and_Mosses,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXR_M_R,Bareland,0,0,8,30,13,44,33,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Grassland,0,0,0,0,85,0,0,0,0,18,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Wetland,0,0,0,0,427,0,0,0,0,235,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Shrubland,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Bareland,0,0,0,0,44,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Built-up,0,0,0,0,62,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Water,0,0,0,0,0,0,0,0,0,286,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Forest,0,0,0,0,291,0,0,0,0,112,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXR_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Grassland,130,75,66,103,10,0,10,305,0,0,25
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Wetland,25,109,0,5,52,18,0,85,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Built-up,42,26,36,0,6,76,0,153,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Forest,0,282,347,155,87,276,18,463,0,0,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Water,114,265,475,98,0,98,0,295,0,0,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Bareland,58,0,38,155,8,86,0,207,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Shrubland,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXR_M_R,Cropland,20,5,2,19,0,18,0,65,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Grassland,131,1,88,145,76,0,261,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Forest,0,4,162,299,355,0,171,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Bareland,97,0,27,101,34,0,68,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Built-up,15,8,1,0,7,0,40,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Wetland,151,13,0,93,176,0,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Water,119,56,316,79,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXR_M_R,Cropland,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXR_M_R,Forest,0,59,6,0,71,58,96,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXR_M_R,Wetland,622,26,0,0,295,99,22,0,0,0,0
