Dataset,MajorityClass,Built-up,Forest,Water,Wetland,Bareland,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Bareland,19,2,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Shrubland,1,2,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Grassland,3,1,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Wetland,0,3,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Water,15,73,0,160,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Forest,35,0,158,250,40,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Built-up,0,0,2,0,14,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,Grassland,0,0,0,1,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,Forest,0,0,65,141,0,0,217,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,Water,0,0,0,205,0,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,Bareland,0,0,9,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,Built-up,0,0,5,0,0,0,0,0,0,0,0,0
